dataset,latent_dim,training_seed,data_seed,model_dir,best_epoch,recorded_epochs,train_loss,val_loss,train_reconstruction_loss,val_reconstruction_loss,train_kl_divergence,val_kl_divergence,capacity,active_dims,n80,n90,n100,mean_abs_corr,max_abs_corr,total_corr,total_kl,kl_per_dim,time_mse_median,time_mse_p90,mismatch_median,mismatch_p90,log_spectral_distance_median,log_spectral_distance_p90,peak_time_error_ms_median,peak_time_error_ms_p90,prior_condition_number_median,prior_condition_number_p90,prior_effective_rank_min,prior_roundtrip_rmse_median,validation_condition_number_median,validation_roundtrip_rmse_median,prior_collision_pairs,prior_minimum_mismatch
ccsne,4,0,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/ccsne_z4_c12p0_seed0,983,1000,0.17421936988830566,0.22616545855998993,0.17421936988830566,0.22616545855998993,11.680512428283691,11.388598442077637,12.0,4,4,4,4,0.06137573719024658,0.18301120400428772,0.037326157093048096,11.388598442077637,"[2.3393590450286865, 2.765314817428589, 3.3040735721588135, 2.979851007461548]",0.12208400388391129,0.5758596770111952,0.04934841690874214,0.6834155028241062,0.2790808122840331,0.9011357174214288,0.0,4.150390625,4.046175003051758,6.2699432373046875,4,0.1336859040336305,4.306346893310547,0.08144193055372523,0,0.006942272186279297
blip,4,0,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/blip_z4_c12p0_seed0,866,1000,0.03151462599635124,0.04696885123848915,0.03151462599635124,0.04696885123848915,11.731623649597168,11.725089073181152,12.0,4,4,4,4,0.03717046231031418,0.13393846154212952,0.014612287282943726,11.725090026855469,"[3.2042737007141113, 2.7889904975891113, 2.5967605113983154, 3.1350653171539307]",0.018606440158778086,0.07636642196249996,0.2362129440545197,0.8109011701121814,1.9836860499208764,2.918139009884603,0.0,1.46484375,142.551513671875,264.378662109375,4,0.2751746416212645,174.39151000976562,0.05813231101253601,0,0.0031589269638061523
ccsne,5,0,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/ccsne_z5_c12p0_seed0,936,1000,0.15591318905353546,0.1987462043762207,0.15591318905353546,0.1987462043762207,11.686320304870605,11.412595748901367,12.0,5,4,5,5,0.08488313853740692,0.25974422693252563,0.08433219790458679,11.412596464157104,"[1.6757416725158691, 2.519937753677368, 2.7704408168792725, 2.6608002185821533, 1.7856760025024414]",0.10945162057752578,0.47280116193829436,0.0476741450337389,0.6961715841812576,0.26848191463613535,0.9178127609373575,0.0,0.9765625,5.464297294616699,8.808575630187988,5,0.15142051819998753,6.029488563537598,0.0935131841888962,0,0.006022334098815918
blip,5,0,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/blip_z5_c12p0_seed0,893,1000,0.023317629471421242,0.03251604363322258,0.023317629471421242,0.03251604363322258,11.57999038696289,11.635406494140625,12.0,5,4,5,5,0.03787458688020706,0.12026304006576538,0.018531817942857742,11.635405778884888,"[2.7634963989257812, 2.2827751636505127, 1.9585211277008057, 2.795952081680298, 1.8346610069274902]",0.012704859031464311,0.05816925309419464,0.23698640547067684,0.8167720318151181,1.9763598157692042,2.762210205638757,0.0,0.48828125,133.42825317382812,311.3511657714844,5,0.32622487059938776,154.9627685546875,0.07573909777279603,0,0.0020148754119873047
ccsne,6,0,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/ccsne_z6_c12p0_seed0,978,1000,0.15333637595176697,0.19304925203323364,0.15333637595176697,0.19304925203323364,11.682275772094727,11.393470764160156,12.0,6,5,6,6,0.045106805860996246,0.15312722325325012,0.03983193635940552,11.393470764160156,"[1.4509048461914062, 2.116236448287964, 2.2011237144470215, 2.2484965324401855, 1.3047451972961426, 2.0719640254974365]",0.10778376143171334,0.46500111713771963,0.04987960278477932,0.6804086716876087,0.27054807372105166,0.9437670421782138,0.0,0.9277343750000028,63.913360595703125,107.3702163696289,6,0.341129060671966,65.74623107910156,0.14203830999325842,0,0.01371753215789795
blip,6,0,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/blip_z6_c12p0_seed0,915,1000,0.027016444131731987,0.04011478275060654,0.027016444131731987,0.04011478275060654,11.501696586608887,11.53112506866455,12.0,6,4,5,6,0.05654042214155197,0.3071804344654083,0.07813826203346252,11.531125344336033,"[0.10418430715799332, 1.4281011819839478, 2.7376201152801514, 2.141854763031006, 2.3135135173797607, 2.805851459503174]",0.014771247651697217,0.06492738782247318,0.26499402955792006,0.849458030544327,1.9912003210351554,2.831744504663151,0.0,0.732421875,304.8746643066406,584.6742553710938,6,0.5279726421758539,277.99072265625,0.08490536785393998,0,0.004553794860839844
ccsne,8,0,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/ccsne_z8_c12p0_seed0,992,1000,0.14111261069774628,0.17100650072097778,0.14111261069774628,0.17100650072097778,11.926021575927734,11.694656372070312,12.0,7,5,6,8,0.057249732315540314,0.18120037019252777,0.10108989477157593,11.69465603120625,"[1.2404890060424805, 1.987185001373291, 2.1206603050231934, 2.0750532150268555, 0.008559124544262886, 1.064598560333252, 1.9697612524032593, 1.2283495664596558]",0.09842775277767386,0.3934513258159684,0.0488322128286558,0.6464477383939634,0.2683489470038995,0.8812566696705332,0.0,0.48828125,165.5345458984375,251.0753631591797,8,0.46212308547770087,160.8359375,0.1507569383668283,0,0.013015329837799072
blip,8,0,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/blip_z8_c12p0_seed0,989,1000,0.02196875959634781,0.03089762106537819,0.02196875959634781,0.03089762106537819,11.641127586364746,11.690811157226562,12.0,6,5,5,8,0.04570788890123367,0.11483190953731537,0.05295582115650177,11.690811404958367,"[2.1528537273406982, 1.9225614070892334, 1.0296576023101807, 1.2909120321273804, 2.5679681301116943, 0.015216467902064323, 0.02829648181796074, 2.6833455562591553]",0.011759803429577453,0.057926761353215867,0.2287684439093609,0.8207059642153332,1.9828004091776172,2.7613432117412153,0.0,0.48828125,424.1374206542969,691.39208984375,8,0.5600425315413652,374.30792236328125,0.09786083777243401,0,0.0038010478019714355
ccsne,5,1,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/ccsne_z5_c12p0_seed1,984,1000,0.16331495344638824,0.20044347643852234,0.16331495344638824,0.20044347643852234,11.814176559448242,11.610978126525879,12.0,5,4,5,5,0.05596144124865532,0.1874278038740158,0.04285717010498047,11.610978484153748,"[2.56294584274292, 1.7490886449813843, 2.780198812484741, 2.2236008644104004, 2.2951443195343018]",0.11391009010232883,0.47712454950635064,0.05117976433328042,0.6652261015166427,0.26644421794131007,0.8937370500723131,0.0,3.173828125,13.11081314086914,28.31845474243164,5,0.27395826979561333,14.189345359802246,0.11366846924836549,0,0.006878018379211426
ccsne,5,2,0,docs/studies/latent_dimensionality/out_hardening_pilot/models/ccsne_z5_c12p0_seed2,998,1000,0.16390934586524963,0.203729510307312,0.16390934586524963,0.203729510307312,11.7323579788208,11.49635124206543,12.0,5,4,5,5,0.04847118631005287,0.21200433373451233,0.03522324562072754,11.496353387832642,"[2.356233835220337, 2.7097108364105225, 2.39996075630188, 1.5835821628570557, 2.4468657970428467]",0.11809674186621136,0.5179250496332078,0.050046884010724435,0.6734310442716944,0.27356107437021937,0.9148996389168812,0.0,3.173828125,13.591703414916992,26.034502029418945,5,0.24532465218125715,15.011564254760742,0.11426468082708621,0,0.011971890926361084
