latent_dim,training_seed,data_seed,space,auc,gaussian_jsd,n_per_class
4,0,0,ccsne_encoder,0.8278455007262718,0.45193136476057794,353
4,0,0,blip_encoder,0.649190668410789,0.6426242617731381,353
5,0,0,ccsne_encoder,0.8490317713808794,0.5648448972087452,353
5,0,0,blip_encoder,0.7827845500726271,0.6653223720523722,353
6,0,0,ccsne_encoder,0.7895256361900024,0.6604158820527544,353
6,0,0,blip_encoder,0.7635162789204633,0.6542294166413265,353
8,0,0,ccsne_encoder,0.8999510468746238,0.6806488155086282,353
8,0,0,blip_encoder,0.8085692044715871,0.6837174000218981,353
5,1,0,ccsne_encoder,0.8164980057620236,0.5264981854186137,353
5,1,0,blip_encoder,0.7906491505428982,0.6543361328115804,353
5,2,0,ccsne_encoder,0.8350359925848053,0.5849637425295247,353
5,2,0,blip_encoder,0.7110481586402266,0.650643801049906,353
